#,Station,Country,Lat,Lon,Power,Plugs
596,Rest. El Alfoz de Burgos (Zund,Spain,42.2904,-3.7029,360,8.0
597,Toro (Zunder),Spain,41.5411,-5.3766,400,2.0
598,Montesalgueiro (Zunder),Spain,43.2126,-8.0510,400,8.0
599,Cariñena. Bodega Grandes Vinos,Spain,41.3609,-1.2084,360,2.0
600,C.C. El Bulevar Ávila,Spain,40.6698,-4.6611,400,2.0
601,Rest. Doménech (Alberique),Spain,39.1195,-0.5360,360,2.0
602,C.C. Parque Principado (Zunder,Spain,43.3912,-5.8017,400,12.0
603,Rest. El Raso Villalpando (Zun,Spain,41.8263,-5.3789,400,16.0
604,Narros del Castillo (Zunder),Spain,40.8744,-5.0544,400,16.0
605,Rest. Las Moreras (Zunder),Spain,40.4476,-3.5358,360,2.0
606,"Mesón Casa Marco, Fresno Alhán",Spain,40.6991,-5.6234,360,2.0
607,Rest. Casablanca (Montalbo),Spain,39.8818,-2.6656,350,4.0
608,Rest. El Pardal (Zunder),Spain,42.7744,-8.6510,360,2.0
609,Ionity Torredembarra,Spain,41.1522,1.3938,350,4.0
610,Ionity Monreal del Campo,Spain,40.7549,-1.3393,350,6.0
611,Ionity La Vall d’Uixo,Spain,39.8142,-0.2296,350,6.0
612,Rest. Casa Juanito La Roda (Zu,Spain,39.2174,-2.1862,360,2.0
613,E.S. Abades Pedro Abad,Spain,37.9716,-4.4582,400,2.0
614,Hotel Zenit Calahorra (Zunder),Spain,42.3198,-1.9995,360,2.0
615,Mercaolid (Zunder),Spain,41.6722,-4.7176,360,2.0
616,E.S. Cetina (Zunder),Spain,41.3066,-1.9646,360,2.0
617,Ionity Torrent,Spain,39.4202,-0.5027,350,4.0
618,C.C. Plaza Loranca 2,Spain,40.3014,-3.8315,400,10.0
619,Parque Comercial Sedaví (Zunde,Spain,39.4214,-0.3765,360,2.0
620,Ionity Rubí,Spain,41.4745,2.0316,350,12.0
621,Ionity Jaén,Spain,37.8197,-3.7746,350,4.0
622,Centro Transportes Madrid (Zun,Spain,40.3656,-3.6547,400,16.0
623,Hotel Lisboa (Zunder),Spain,41.2277,-5.3180,360,2.0
624,Quintanilla de Urz (Zunder),Spain,42.0222,-5.8540,360,2.0
625,Rest. El Navarro Épila (Zunder,Spain,41.5388,-1.2414,360,2.0
626,San Pedro de Mérida (Zunder),Spain,38.9472,-6.1877,360,2.0
627,Buniel - Área Serrano (Zunder),Spain,42.3052,-3.8246,360,2.0
628,"Cabildo, Estadio Gran Canaria",Spain,28.0980,-15.4573,360,2.0
629,E.S. Villa Los Arcos (Zunder),Spain,42.5552,-2.1808,360,2.0
630,Parque Comercial Ronda Norte,Spain,39.4903,-6.3679,360,2.0
631,Simancas (Zunder),Spain,41.5907,-4.8302,400,2.0
632,C.C. Thader,Spain,38.0310,-1.1491,360,2.0
633,E.S. Mutilva II (Zunder),Spain,42.8004,-1.6116,360,2.0
634,Hormilla (Zunder) ,Spain,42.4316,-2.7629,360,2.0
635,Oropesa Ferlu,Spain,39.9268,-5.1851,360,2.0
636,Obramat Sestao (Zunder),Spain,43.3004,-3.0057,360,2.0
637,Ionity Tarragona,Spain,41.1296,1.1813,350,6.0
638,Ionity Lérida,Spain,41.6498,0.5636,350,6.0
639,Hotel Romero Mérida (Zunder),Spain,38.8599,-6.3641,360,2.0
640,Alovera (Zunder),Spain,40.5948,-3.2259,360,2.0
641,E.S. Ruta 4,Spain,37.5081,-5.3894,360,2.0
642,Idiada Automotive Technology,Spain,41.2669,1.5221,400,2.0
643,Ionity Arrigorriaga,Spain,43.1901,-2.8966,350,4.0
644,E.S. Mutilva Pamplona (Zunder),Spain,42.8016,-1.6127,360,2.0
645,Hotel Restaurante San Roque,Spain,41.2967,-4.9050,350,4.0
646,C.C. Parque Laguna de Duero (Z,Spain,41.5936,-4.7229,360,2.0
647,Tejares (Zunder),Spain,40.9556,-5.7041,360,2.0
648,Disfrimur  - Calle Río Ebro,Spain,37.9522,-1.2492,350,3.0
649,Rest. El Zamorano (Zunder),Spain,41.8591,-4.5511,360,2.0
650,E.S. La Joyosa,Spain,41.7365,-1.0670,350,2.0
651,Ionity Tunel del Cadi,Spain,42.3460,1.8327,350,6.0
652,Ionity Sallent,Spain,41.7894,1.8975,350,6.0
653,Ionity Ribadeo,Spain,43.5443,-7.0625,350,2.0
654,Ionity Tudela Norte,Spain,42.0124,-1.6000,350,2.0
655,Ionity Tudela Sur,Spain,42.0121,-1.6003,350,2.0
656,Ionity Logroño Sur,Spain,42.4499,-2.3698,350,2.0
657,Ionity Logroño Norte,Spain,42.4503,-2.3695,350,2.0
658,Ionity Benavente,Spain,41.9987,-5.6599,350,6.0
659,Ionity Cazalegas,Spain,39.9840,-4.7319,350,6.0
660,Ionity Saelices,Spain,39.9169,-2.7983,350,6.0
661,Ionity Marmolejo,Spain,38.0297,-4.1642,350,2.0
662,A.S. Las Fuentes,Spain,41.0785,-4.7345,400,2.0
663,Rest. Hotel La Abadesa,Spain,42.3072,-3.7029,350,2.0
664,Parking FGC Montserrat,Spain,41.6157,1.8424,400,2.0
665,Les Alqueries,Spain,39.8983,-0.1258,350,2.0
666,Hotel Rest. La Hacienda,Spain,42.2870,-5.9132,350,2.0
667,Ionity La Zenia Torrevieja,Spain,37.9258,-0.7360,350,6.0
668,Ionity Tordesillas,Spain,41.5162,-5.0197,350,6.0
669,Parking Estación de Parque Pol,Spain,40.3133,-3.7835,360,8.0
670,Parking Pza. Canalejas 360 (pl,Spain,40.4168,-3.7006,400,4.0
671,Ionity Albacete,Spain,38.9690,-1.8237,350,2.0
672,Guarromán Endesa,Spain,38.1423,-3.7232,350,4.0
673,La Pará Rociera - Endesa,Spain,38.6871,-3.4378,350,4.0
674,Andamur La Junquera (Endesa),Spain,42.4025,2.8785,350,4.0
675,La Panadella Iberdrola,Spain,41.6168,1.4006,350,2.0
676,Ionity - Zaragoza,Spain,41.6676,-0.9231,350,6.0
677,Estación Autobuses Villalpando,Spain,41.8595,-5.4168,360,2.0
678,Iberdrola Parking Bilbondo 1,Spain,43.2298,-2.8764,350,2.0
679,Hotel Rey Don Sancho Zamora (Z,Spain,41.5213,-5.7548,360,2.0
680,C.C. Luz Shopping Jerez (Zunde,Spain,36.6919,-6.1594,360,2.0
681,Iberdrola- Salamanca,Spain,40.9595,-5.7265,400,2.0
682,Repsol A1 Cotos de Monterrey,Spain,40.7856,-3.6136,350,4.0
683,E.S. La Gaviota (Zunder),Spain,39.5535,-1.9030,400,8.0
684,Castillejo de Iniesta (Zunder),Spain,39.5168,-1.7535,360,2.0
685,ES La Gaviota (Zunder),Spain,39.0295,-1.8881,360,2.0
686,Restaurante Los Ábades de la G,Spain,39.1348,-2.0395,360,2.0
687,Portal de la Marina (Iberdrola,Spain,38.8184,0.0239,350,2.0
688,E.S. Galp Elche Sur,Spain,38.3079,-0.6058,400,2.0
689,IONITY O Corgo N,Spain,42.9659,-7.4546,350,2.0
690,IONITY O Corgo S,Spain,42.9649,-7.4576,350,2.0
691,"IONITY Cepsa, Martín de Yeltes",Spain,40.7694,-6.2869,350,2.0
692,IONITY Mérida,Spain,38.9339,-6.3432,350,2.0
693,IONITY Milagros,Spain,41.5937,-3.6982,350,2.0
694,IONITY Casabermeja,Spain,36.8983,-4.4299,350,4.0
695,IONITY Sotogrande,Spain,36.2868,-5.3124,350,2.0
696,IONITY Jarama,Spain,40.6164,-3.5848,350,6.0
697,IONITY Gerona,Spain,41.8987,2.7705,350,6.0
698,IONITY Briviesca Sur,Spain,42.5262,-3.3331,350,2.0
699,IONITY Briviesca Norte,Spain,42.5294,-3.3319,350,2.0
700,Hostal Rio Deva II  (Zunder),Spain,43.3748,-4.5001,360,2.0
701,E.S. GALP Elche Norte,Spain,38.3098,-0.6056,400,2.0
702,IONITY La Marina Este,Spain,38.5347,-0.2046,350,2.0
703,IONITY La Marina Oeste,Spain,38.5358,-0.2039,350,2.0
704,IONITY El Hidalgo,Spain,38.8246,-3.3967,350,4.0
705,IONITY Vila Sana,Spain,41.6437,0.9315,350,4.0
706,IONITY Ariza Sur,Spain,41.3113,-2.0031,350,2.0
707,IONITY Ariza Norte,Spain,41.3129,-2.0015,350,4.0
708,IONITY Área de Servicio de Ima,Spain,42.7324,-1.6187,350,2.0
709,IONITY Pola de Lena Oeste,Spain,43.1820,-5.8112,350,2.0
710,Centro Porsche PAMPLONA,Spain,42.7695,-1.6327,350,2.0
711,Centro Porsche MARBELLA,Spain,36.4958,-4.9499,350,2.0
712,Centro Porsche LAS PALMAS,Spain,28.0992,-15.4373,350,1.0
713,E.S. Torquemada (Zunder),Spain,42.0362,-4.2805,360,2.0
714,IONITY Trigueros Norte,Spain,37.3341,-6.7894,350,2.0
715,Ionity Trigueros Sur,Spain,37.3317,-6.8022,350,2.0
716,Campo de las Naciones [Ionity],Spain,40.4586,-3.6166,350,6.0
717,IONITY Palleja,Spain,41.4204,2.0016,350,6.0
718,Ionity Puerto Lumbreras,Spain,37.5758,-1.8012,350,6.0
719,Repsol  Ugaldebieta (Dir. Sant,Spain,43.3285,-3.0682,400,4.0
720,Complejo Tudanca - Zunder,Spain,41.6235,-3.6873,360,2.0
721,C.C. Bahía Sur,Spain,36.4719,-6.2075,350,2.0
722,Reload - Stöllet - Virta,Sweden,60.4238,13.2568,400,6.0
723,"St1 Shell Borås, Viaredsv",Sweden,57.7096,12.8672,400,6.0
724,Bönekullavägen 14 - Monta,Sweden,57.7703,11.8932,360,2.0
725,von Utfallsgatan 29 - Monta,Sweden,57.7332,12.0539,360,2.0
726,Åsbäcksvägen 5 | Grums - Charg,Sweden,59.3642,13.1416,350,2.0
727,St1 Säffle Guttane,Sweden,59.1278,12.8823,400,5.0
728,"St1 Mellerud, Kornsjög",Sweden,58.7022,12.4494,400,5.0
729,IONITY Jönköping,Sweden,57.7872,14.2268,350,8.0
730,Circle K Bollebygd,Sweden,57.6634,12.5410,400,2.0
731,Shell Landvetter - St1,Sweden,57.6870,12.2064,400,6.0
732,St1 | Shell Mölnlycke,Sweden,57.6688,12.0963,400,5.0
733,Circle K Stora Höga Spekeröd E,Sweden,58.0246,11.8479,360,2.0
734,Hedin Ängelholm,Sweden,56.2320,12.8610,400,4.0
735,OKQ8 Halmstad Trucks,Sweden,56.6553,12.8996,350,2.0
736,Circle K Halmstad Sannarp,Sweden,56.6741,12.8915,400,2.0
737,Recharge Preem Falkenbergsmote,Sweden,56.9324,12.5177,400,2.0
738,Circle K Mölndal Söderleden,Sweden,57.6461,11.9845,400,4.0
739,Circle K Mölndal Vänortsgatan,Sweden,57.6656,12.0110,400,4.0
740,Circle K Hallstahammar,Sweden,59.5910,16.2480,400,8.0
741,Circle K Örebro Västhaga,Sweden,59.2752,15.1774,400,8.0
742,Circle K Kumla Brändåsen Truck,Sweden,59.0639,15.0037,360,4.0
743,Circle K Hova Trucks,Sweden,58.8615,14.2189,360,4.0
744,OKQ8 Volvo Truck Lidköping Bjö,Sweden,58.4923,13.1895,350,2.0
745,ICA Supermarket Margretelund -,Sweden,58.4954,13.1695,360,2.0
746,Circle K Trollhättan,Sweden,58.2738,12.2954,400,4.0
747,ICA Maxi Överby Trollhättan - ,Sweden,58.3123,12.3040,360,7.0
748,Hedin Supercharge Uddevalla,Sweden,58.3512,11.8660,400,4.0
749,Frendo Rollsbo Kungälv - EBB C,Sweden,57.8865,11.9477,350,4.0
750,Hedin Supercharge Grimbodalen,Sweden,57.7372,11.9425,400,4.0
751,Ionity Arvidsjaur,Sweden,65.5882,19.1899,350,4.0
752,Ionity Jokkmokk,Sweden,66.6076,19.8281,350,4.0
753,IONITY Göteborg Nord,Sweden,57.8741,11.9663,350,14.0
754,Circle K Jokkmokk Trucks,Sweden,66.6083,19.8280,360,2.0
755,Ionity Silvaplana,Switzerland,46.4556,9.7906,350,4.0
756,Ionity Gossau,Switzerland,47.4129,9.2406,350,6.0
757,Ionity Oftringen,Switzerland,47.3043,7.9295,350,8.0
758,Ionity Lyss,Switzerland,47.0654,7.2914,350,4.0
759,Ionity Gisikon,Switzerland,47.1251,8.3974,350,4.0
760,IONITY Lully,Switzerland,46.8325,6.8594,350,4.0
761,Rastplatz Teufenbach,Switzerland,47.3333,7.8214,350,2.0
762,IONITY Martigny,Switzerland,46.1278,7.0598,350,6.0
763,IONITY Neuenkirch,Switzerland,47.1134,8.2323,350,6.0
764,IONITY Kemptthal,Switzerland,47.4494,8.7001,350,6.0
765,IONITY Heidiland,Switzerland,47.0118,9.5124,350,6.0
766,IONITY Grauholz Süd,Switzerland,46.9902,7.4760,350,6.0
767,IONITY Gotthard Süd,Switzerland,46.8465,8.6323,350,6.0
768,IONITY Gotthard Nord,Switzerland,46.8479,8.6332,350,6.0
769,IONITY Bellinzona Süd,Switzerland,46.1822,9.0018,350,4.0
770,IONITY Bellinzona Nord,Switzerland,46.2096,9.0266,350,4.0
771,Rasthof Luzern Neuenkirch Ost,Switzerland,47.1134,8.2324,350,6.0
772,"Готель ""ДАлОС""",Ukraine,51.3181,26.6263,360,4.0
773,GO TO-U Charging HUB Rivne,Ukraine,50.5933,26.2573,360,2.0
774,Quest Park,United Kingdom,53.5382,-1.1201,360,1.0
775,The Junction,United Kingdom,54.7303,-6.2285,400,6.0
776,Banbridge The Boulevard,United Kingdom,54.3311,-6.2806,400,12.0
777,Inverness (Howdens),United Kingdom,57.4825,-4.1872,360,1.0
778,Phoenix Park Spar,United Kingdom,52.9880,-1.2121,360,1.0
779,Stevenage Electric Forecourt,United Kingdom,51.8875,-0.2087,360,1.0
780,Ionity Dungannon,United Kingdom,54.4794,-6.7810,350,12.0
781,Ionity Belfast,United Kingdom,54.5805,-5.9798,350,11.0
782,Normandy Lane,United Kingdom,52.0750,-0.2429,350,4.0
783,Ionity Bodmin,United Kingdom,50.4718,-4.7042,350,6.0
784,Ionity Lewes,United Kingdom,50.8646,-0.0423,350,6.0
785,Leicester East,United Kingdom,52.6580,-1.0830,360,1.0
786,Dobbies Peterborough,United Kingdom,52.5432,-0.2593,350,1.0
787,Dobbies Gloucester,United Kingdom,51.7944,-2.2889,350,1.0
788,Ipswich Greenways,United Kingdom,52.0309,1.2000,360,1.0
789,IONITY Aberdeen,United Kingdom,57.1481,-2.2686,350,12.0
790,Hu-Newbold Rugby,United Kingdom,52.3822,-1.2653,350,1.0
791,Ionity Toome,United Kingdom,54.7577,-6.4576,350,6.0
792,Dobbies Edinburgh,United Kingdom,55.8957,-3.0975,350,1.0
793,Hu-Roadchef Strensham Southbou,United Kingdom,52.0574,-2.1408,360,1.0
794,EG GROUP CHALK SERVICES,United Kingdom,51.4318,0.3953,350,2.0
795,Hu-Dobbies Liverpool,United Kingdom,53.3484,-2.8657,350,1.0
796,Hu-Roadchef Chester-Patrons-Ar,United Kingdom,53.2685,-2.8024,350,12.0
797,Ionity West Bromwich,United Kingdom,52.5105,-1.9676,350,6.0
798,Hu-Dobbies Leicester,United Kingdom,52.7198,-1.1268,350,1.0
799,Abbey Retail Park St Ives,United Kingdom,52.3306,-0.0605,350,1.0
800,PORSCHE CENTRE GUILDFORD,United Kingdom,51.2471,-0.5825,350,2.0
801,Stadium MK,United Kingdom,52.0077,-0.7343,350,1.0
802,Porsche Centre Hatfield,United Kingdom,51.7703,-0.2357,350,2.0
803,Moto Leeming Bar Services,United Kingdom,54.2984,-1.5659,350,1.0
804,Moto Heston Westbound Services,United Kingdom,51.4882,-0.3956,350,1.0
805,Roadchef Rownhams North Servic,United Kingdom,50.9582,-1.4482,350,1.0
806,Moto Medway Westbound Services,United Kingdom,51.3407,0.6082,350,1.0
807,Moto Pease Pottage Services,United Kingdom,51.0836,-0.1999,350,1.0
808,Moto Heston Eastbound Services,United Kingdom,51.4884,-0.3888,350,1.0
809,Moto Donington Park Services,United Kingdom,52.8219,-1.3068,360,1.0
810,Moto Reading Eastbound Service,United Kingdom,51.4258,-1.0348,350,1.0
811,Moto Toddington Southbound Ser,United Kingdom,51.9474,-0.5016,360,1.0
812,Roadchef Watford Gap Southboun,United Kingdom,52.3081,-1.1214,350,1.0
813,Moto Exeter Services,United Kingdom,50.7157,-3.4645,350,1.0
814,Moto Frankley Southbound Servi,United Kingdom,52.4290,-2.0167,350,1.0
815,Moto Cardiff West Services,United Kingdom,51.5089,-3.3069,350,1.0
816,Moto Swansea Services,United Kingdom,51.6787,-3.9937,350,1.0
817,Moto Wetherby Services,United Kingdom,53.9479,-1.3699,350,1.0
818,Moto Chieveley Services,United Kingdom,51.4489,-1.3103,350,1.0
819,Moto Thurrock Services,United Kingdom,51.4925,0.2711,350,1.0
820,Roadchef Taunton Deane Northbo,United Kingdom,50.9779,-3.1483,360,1.0
821,Moto Toddington Northbound Ser,United Kingdom,51.9470,-0.5024,360,1.0
822,Moto Leigh Delamere Westbound,United Kingdom,51.5099,-2.1582,350,1.0
823,Moto Medway Eastbound Services,United Kingdom,51.3420,0.6077,350,1.0
824,Moto Blyth Services,United Kingdom,53.3876,-1.0605,350,1.0
825,Roadchef Bothwell Services,United Kingdom,55.8142,-4.0623,350,1.0
826,Roadchef Watford Gap Northboun,United Kingdom,52.3067,-1.1230,350,1.0
827,Moto Lancaster Northbound Serv,United Kingdom,53.9614,-2.7598,350,1.0
828,Norwich Electric Forecourt,United Kingdom,52.6280,1.3834,350,1.0
829,Moto Washington Northbound Ser,United Kingdom,54.8896,-1.5602,350,1.0
830,Roadchef Sandbach Southbound S,United Kingdom,53.1397,-2.3359,350,1.0
831,Moto Knutsford Southbound Serv,United Kingdom,53.3015,-2.4004,350,1.0
832,Moto Ferrybridge Services,United Kingdom,53.6982,-1.2669,350,1.0
833,Moto Burton-in-Kendal Services,United Kingdom,54.1790,-2.7348,350,1.0
834,Moto Lancaster Southbound Serv,United Kingdom,53.9626,-2.7600,350,1.0
835,Moto Reading Westbound Service,United Kingdom,51.4233,-1.0370,350,1.0
836,Roadchef Chester Services,United Kingdom,53.2685,-2.8024,350,1.0
837,Roadchef Annandale Water Servi,United Kingdom,55.2196,-3.4106,350,1.0
838,Moto Kinross Services,United Kingdom,56.2094,-3.4396,350,1.0
839,Roadchef Pont Abraham Services,United Kingdom,51.7475,-4.0654,360,1.0
840,Moto Severn View Services,United Kingdom,51.6038,-2.6200,350,1.0
841,Dobbies Garden Centre Swindon,United Kingdom,51.5966,-1.7683,350,1.0
842,Gridserve Solstice Park Servic,United Kingdom,51.1771,-1.7604,350,1.0
843,Ionity Newport Road,United Kingdom,51.5863,-2.8423,350,1.0
844,"RAW Charging Yard, The Urban B",United Kingdom,51.5062,-0.5974,350,2.0
845,IONITY Stafford,United Kingdom,52.8315,-2.1357,350,6.0
846,IONITY Polmadie,United Kingdom,55.8372,-4.2425,350,6.0
847,IONITY Cringleford,United Kingdom,52.6028,1.2217,350,3.0
848,IONITY Alnwick,United Kingdom,55.3973,-1.6932,350,4.0
849,Porsche Centre Swindon,United Kingdom,51.5453,-1.8452,350,1.0
850,Gridserve Plymouth Electric Fo,United Kingdom,50.3904,-4.1514,350,12.0
851,Gridserve Electric Forecourt G,United Kingdom,51.1563,-0.1535,350,1.0
852,Moto Rugby Motorway Services M,United Kingdom,52.4102,-1.2503,350,1.0
853,Ionity Extra Beaconsfield Serv,United Kingdom,51.5879,-0.6292,350,6.0
854,IONITY Cullompton,United Kingdom,50.8637,-3.3845,350,6.0
855,IONITY Blackburn,United Kingdom,53.7135,-2.4770,350,6.0
856,IONITY Cobham,United Kingdom,51.3054,-0.4067,350,18.0
857,IONITY Channel Gateway,United Kingdom,51.0944,1.0468,350,4.0
858,Ionity Chippenham,United Kingdom,51.5135,-2.1092,350,1.0
859,Gridserve Electric Forecourt -,United Kingdom,51.8528,0.5215,350,1.0
860,IONITY Baldock,United Kingdom,52.0139,-0.2031,350,6.0
861,Ionity Perth,United Kingdom,56.4193,-3.4632,350,4.0
862,Ionity ExtraMSA Cambridge Serv,United Kingdom,52.2698,-0.0102,350,6.0
863,Ionity Peterborough,United Kingdom,52.5327,-0.3206,350,6.0
864,Ionity Leeds - Skelton Lakes S,United Kingdom,53.7744,-1.4703,350,1.0
865,IONITY Gretna Green,United Kingdom,55.0082,-3.0864,350,4.0
866,MK Coachway Ionity,United Kingdom,52.0551,-0.6965,350,4.0
867,Ionity Maidstone,United Kingdom,51.2657,0.6162,350,4.0
868,Todhills Moto M6 (S) Services,United Kingdom,54.9515,-2.9786,350,1.0
869,Birch Moto M62 (W) Services,United Kingdom,53.5676,-2.2298,350,1.0
870,Hilton Park Moto M6 (N) Servic,United Kingdom,52.6433,-2.0581,350,1.0
871,Scotch Corner Moto Services,United Kingdom,54.4443,-1.6670,350,1.0
872,Grantham North Moto A1 Service,United Kingdom,52.9489,-0.6792,350,1.0
873,Northampton Roadchef M1 (S) Se,United Kingdom,52.2099,-0.9437,360,1.0
